  dataset       zr        a        v       t0        d      st0  penalty      fit     time   method
     A_13   0.7647   1.0171   0.0192   0.3232   0.0606   0.1283   0.0000   0.8139   1.2440       KS
     A_14   0.7333   0.8991   0.0705   0.3300   0.0686   0.1215   0.0000   0.9969   1.2310       KS
     A_15   0.7187   0.9330   0.2070   0.3181   0.0375   0.1049   0.0000   0.9969   1.3530       KS
     A_16   0.6428   0.8369   0.7892   0.3453   0.1259   0.1106   0.0000   0.9294   1.6900       KS
     A_17   0.6000   0.8982   0.8649   0.3143   0.0864   0.0977   0.0000   0.9217   1.1670       KS
     A_18   0.6562   0.9486   0.5484   0.3149   0.0867   0.0975   0.0000   0.9306   1.1230       KS
     A_19   0.7647   0.9880  -0.0432   0.2988   0.0008   0.0825   0.0000   0.9983   2.0880       KS
      A_2   0.7058   0.9727   0.3212   0.3118   0.0522   0.0675   0.0000   0.9977   1.5300       KS
     A_20   0.6764   1.0093   0.5524   0.3184   0.0991   0.0539   0.0000   0.9837   1.4180       KS
      A_3   0.6562   0.9428   0.6390   0.3127   0.0836   0.0825   0.0000   1.0000   1.1590       KS
      A_4   0.7187   0.9490   0.3400   0.3319   0.0877   0.0987   0.0000   0.9674   1.8930       KS
      A_5   0.6000   0.8864   0.8653   0.3185   0.0953   0.0675   0.0000   0.8866   2.0060       KS
      A_6   0.5937   0.9115   0.8407   0.3131   0.0994   0.0413   0.0000   0.8013   1.3740       KS
      A_7   0.7500   0.9308   0.1362   0.3198   0.0371   0.1143   0.0000   0.9724   1.4380       KS
      A_8   0.7353   0.9860   0.2005   0.3024   0.0154   0.1071   0.0000   0.9999   1.3770       KS
      A_9   0.7353   0.9726   0.3456   0.3161   0.0528   0.1126   0.0000   0.9531   1.1860       KS
      B_1   0.4688   0.9421   1.1612   0.3158   0.0168   0.0924   0.0000   0.9961   1.3880       KS
     B_10   0.5000   1.0569   1.0070   0.2831   0.0187   0.0675   0.0000   0.9867   1.8730       KS
     B_11   0.4706   0.9872   1.2248   0.3076   0.0165   0.1673   0.0000   0.9990   1.7330       KS
     B_12   0.5000   1.0026   0.9769   0.2877   0.0062   0.0890   0.0000   0.9998   1.6050       KS
     B_13   0.5312   0.9547   0.9147   0.3176   0.0095   0.1575   0.0000   0.9997   1.5630       KS
     B_14   0.4445   1.0304   1.1639   0.2947   0.0106   0.1125   0.0000   0.9997   1.3730       KS
     B_15   0.5000   0.9833   0.9739   0.3063   0.0120   0.1009   0.0000   0.9896   1.1120       KS
     B_16   0.4723   1.0520   1.1850   0.3034   0.0169   0.0771   0.0000   0.9986   1.4430       KS
     B_17   0.5312   0.9509   1.1185   0.3224   0.0128   0.1477   0.0000   0.9999   1.1460       KS
     B_18   0.5312   0.9564   0.8029   0.3041   0.0010   0.1246   0.0000   0.9997   1.5130       KS
     B_19   0.4723   1.0683   0.9103   0.2878   0.0335   0.0561   0.0000   0.9990   1.2430       KS
      B_2   0.4688   0.9424   1.1064   0.3132   0.0091   0.0821   0.0000   0.9957   2.7690       KS
     B_20   0.5000   1.0226   1.0904   0.2944   0.0089   0.0936   0.0000   0.9998   4.3950       KS
      B_3   0.5293   0.9963   1.1088   0.3043   0.0096   0.1028   0.0000   0.9889   3.3820       KS
      B_4   0.4706   0.9850   0.9396   0.3061   0.0248   0.0658   0.0000   0.9986   1.4750       KS
      B_5   0.4706   1.0247   1.2037   0.3027   0.0314   0.1662   0.0000   0.9888   1.8090       KS
      B_6   0.5277   1.0516   0.8249   0.2834  -0.0183   0.0975   0.0000   0.9970   1.6320       KS
      B_7   0.4706   0.9933   1.1777   0.3068   0.0129   0.0908   0.0000   0.9996   4.0900       KS
      B_8   0.5294   1.0185   1.0430   0.3001   0.0023   0.1400   0.0000   0.9997   1.4130       KS
      B_9   0.4412   0.9827   1.1155   0.3024   0.0095   0.1624   0.0000   0.9967   2.1560       KS
